CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,CAT_OCUP,EMPLEO,PP02B,PP02E,PP02H,PP02I,PP03C,PP03G,PP03I,PP04A,PP04G,PP05B3,PP05H,PP05I,PP05J,PP05K,PP07A,PP07I3,PP07J,PP07K,PP08D1,P21,ITF,DECINDR,IPCF,ANIO,CH03,CH12,CH13,CH14,PP3E_TOT,PP3F_TOT,horastrab,trabaja,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,educ,edad_rango,ingreso_total_familiar,ingreso_total_familiar_millones,CH03_str,IX_TOT
125666  ,1,1,1,36,1,4,3,1.0,,3.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,5.0,,1.0,4.0,300.0,300,700,4,140.0,2005,1.0,4.0,2.0,2.0,46.0,0.0,46.0,1,1.0,4.18,857.1925999999999,1,1296,8.0,31-50,678727.0,0.678727,jefe,5.0
125666  ,1,2,2,35,1,4,2,3.0,4.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,700,0,140.0,2005,,2.0,1.0,0.0,0.0,0.0,0.0,0,0.77,4.18,857.1925999999999,1,1225,6.0,31-50,678727.0,0.678727,cónyuge/pareja,5.0
125666  ,1,3,2,15,5,4,3,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,700,3,140.0,2005,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0,0.77,4.18,857.1925999999999,1,225,7.0,13-17,678727.0,0.678727,hijo/hijastro,5.0
125666  ,1,4,1,12,5,4,3,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,700,0,140.0,2005,3.0,3.0,2.0,8.0,0.0,0.0,0.0,0,0.85,4.18,857.1925999999999,1,144,8.0,6-12,678727.0,0.678727,hijo/hijastro,5.0
125666  ,1,5,1,10,5,4,1,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,700,0,140.0,2005,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0,0.79,4.18,857.1925999999999,1,100,5.0,6-12,678727.0,0.678727,hijo/hijastro,5.0
126344  ,1,1,1,53,2,1,6,1.0,,3.0,,,,,,2.0,2.0,2.0,1.0,,,,,,,6.0,,1.0,1.0,1500.0,1500,3800,10,1266.666666666667,2005,1.0,7.0,1.0,0.0,30.0,30.0,60.0,1,1.0,2.79,572.1453,0,2809,17.0,50+,3684518.0,3.684518,jefe,3.0
126344  ,1,2,2,52,2,1,6,1.0,,3.0,,,,,,1.0,2.0,2.0,1.0,,,,,,,6.0,,1.0,1.0,1500.0,1500,3800,9,1266.666666666667,2005,,7.0,1.0,0.0,30.0,0.0,30.0,1,0.76,2.79,572.1453,0,2704,17.0,50+,3684518.0,3.684518,cónyuge/pareja,3.0
126344  ,1,3,1,16,5,1,3,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,3800,0,1266.666666666667,2005,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0,1.03,2.79,572.1453,0,256,8.0,13-17,3684518.0,3.684518,hijo/hijastro,3.0
127081  ,1,1,2,84,4,1,2,3.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,279,3,139.5,2005,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.63,1.3900000000000001,285.0473,1,7056,6.0,50+,270521.19,0.27052119,jefe,2.0
127081  ,1,2,2,19,5,1,5,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,279,0,139.5,2005,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0,0.76,1.3900000000000001,285.0473,1,361,,18-30,270521.19,0.27052119,nieto,2.0
127095  ,1,1,1,41,2,12,5,1.0,,3.0,,,,,,1.0,2.0,2.0,2.0,,,,,,,6.0,,1.0,1.0,650.0,650,1240,6,248.0,2005,1.0,7.0,2.0,1.0,25.0,0.0,25.0,1,1.0,4.04,828.4828,0,1681,13.0,31-50,1202316.4,1.2023164,jefe,5.0
127095  ,1,2,2,36,2,12,6,1.0,,3.0,,,,,,1.0,2.0,2.0,2.0,,,,,,,6.0,,1.0,1.0,590.0,590,1240,6,248.0,2005,,6.0,1.0,0.0,25.0,0.0,25.0,1,0.77,4.04,828.4828,0,1296,15.0,31-50,1202316.4,1.2023164,cónyuge/pareja,5.0
127095  ,1,3,2,14,5,12,3,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,1240,0,248.0,2005,3.0,3.0,2.0,8.0,0.0,0.0,0.0,0,0.76,4.04,828.4828,0,196,8.0,13-17,1202316.4,1.2023164,hijo/hijastro,5.0
127095  ,1,4,1,12,5,12,1,3.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,0,1240,0,248.0,2005,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0,0.85,4.04,828.4828,0,144,6.0,6-12,1202316.4,1.2023164,hijo/hijastro,5.0
127095  ,1,5,1,7,5,12,1,4.0,3.0,,,,,,,,,,,,,,,,,,,,,0.0,0,1240,0,248.0,2005,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0,0.66,4.04,828.4828,0,49,1.0,6-12,1202316.4,1.2023164,hijo/hijastro,5.0
